Node,level,msg,time,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_Cpu,B2_Memory,B2_QueueLength,B2_QueueTime,B2_ServiceTime,B2_ResponseTime,B2_InterArrivalTime,B2_Throughput,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
localhost:50002,info,Advertisement(apple > 0.8346767073039755) ca036fac-2b7f-4d21-9e1f-81f1f4dbedb0,2024-08-03 19:29:35,,,,,,,,,,,100.110671,23736320.0,3.0,1.162724,0.0,1.162724,0.2276,0.86005,10.295749401,,99.39637,23515136.0,3.0,0.903563,0.0,0.903563,0.001165,1.10673,9.128024101,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.5348975819733137) 76ad8890-e29f-41cb-8e1d-7df43ca35e1b,2024-08-03 19:29:36,99.684715,23453696.0,1.0,1.161399,0.0,1.161399,0.001046,0.86103,9.390476801,,100.019933,24195072.0,3.0,2.070749,1.170726,3.241475,0.284757,0.308502,11.461122201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.5348975819733137) 25a1782f-2262-442b-80cd-c6baedb9f34a,2024-08-03 19:29:37,,,,,,,,,,,100.023972,24453120.0,2.0,3.224251,1.162372,4.386623,0.284757,0.227966,12.616625401,,,,,,,,,,,,100.851342,23453696.0,0.0,1.161399,0.0,1.161399,0.0,0.86103,9.342414701,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.5348975819733137) 9948d2fd-d7a6-4671-bfde-4677809e5177,2024-08-03 19:29:38,,,,,,,,,,,100.046152,24461312.0,1.0,3.726109,1.150501,4.87661,0.284757,0.20506,13.769534301,,99.399814,24133632.0,2.0,1.814963,0.908564,2.723527,0.001165,0.367171,10.039424301,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.5010479585914438) 4996a6de-461e-4014-94a2-83b7ed36aee1,2024-08-03 19:29:40,,,,,,,,,,,100.063807,24477696.0,0.0,4.365799,1.152909,5.518708,0.284757,0.181202,14.922607901,,,,,,,,,,,,100.808678,24334336.0,2.0,1.161434,1.167401,2.328835,0.519194,0.429399,10.508850001,,99.684467,22827008.0,0.0,1.161911,0.0,1.161911,0.0,0.860651,9.346532001,
localhost:50002,info,Advertisement(apple > 0.49863495724809503) c4dcc089-3b07-41c9-8efd-3d8f2f3d49a8,2024-08-03 19:29:41,99.823197,24502272.0,2.0,1.586525,1.155974,2.742499,0.837704,0.364631,15.184520301,,100.196456,24952832.0,1.0,1.152081,1.159075,2.311156,0.866849,0.432684,16.337498301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.32595673065644415) 528810ba-405a-4121-8473-365cb957a32e,2024-08-03 19:29:42,,,,,,,,,,,100.324775,25321472.0,2.0,2.299258,1.161868,3.461126,0.910095,0.288923,17.500224901,,,,,,,,,,,,100.548148,24932352.0,0.0,1.601528,1.164555,2.766083,0.89482,0.361522,15.151461601,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.6934348836845214) 7ddc043f-25e0-48b8-b695-eae920c81c61,2024-08-03 19:29:43,,,,,,,,,,,100.23891,25714688.0,2.0,2.295912,1.159941,3.455854,0.910035,0.289364,18.668721801,,,,,,,,,,,,100.69675,25423872.0,2.0,1.159833,1.159572,2.319405,0.902479,0.431145,16.323850401,,99.88758,24076288.0,0.0,1.608075,1.167555,2.775631,1.073886,0.360278,15.162126301,
localhost:50002,info,Advertisement(apple > 0.6934348836845214) b4db7c3b-3049-42a1-9427-68419b1d4147,2024-08-03 19:29:44,,,,,,,,,,,100.247755,26066944.0,2.0,2.512166,1.168497,3.680663,0.910074,0.27169,19.836045501,,99.481699,25817088.0,9.0,3.724987,0.913776,4.638763,0.427412,0.215575,17.318878201,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.32595673065644415) 9322ac2f-0997-4538-a0f5-58884ef0af85,2024-08-03 19:29:46,,,,,,,,,,,100.250686,26370048.0,2.0,2.77103,1.16585,3.93688,0.916437,0.254008,21.004403601,,99.484277,26030080.0,9.0,4.635481,0.910727,5.546207,0.464088,0.180303,18.229372101,,,,,,,,,,,,,,,,,,,,,
