B1_Cpu,B1_Memory,B1_ResponseTime,B1_Throughput,B2_Cpu,B2_Memory,B2_ResponseTime,B2_Throughput,B3_Cpu,B3_Memory,B3_ResponseTime,B3_Throughput,B4_Cpu,B4_Memory,B4_ResponseTime,B4_Throughput,B5_Cpu,B5_Memory,B5_ResponseTime,B5_Throughput
0,0,0,0,101.9968242,21110784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,101.0680727,23252992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.7387597,23269376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.0157727,23273472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.2402082,23281664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,99.97197189,23285760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,99.96370489,23298048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,99.97912296,23302144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.0359059,23306240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.110671,23736320,1.162724,0.86005,99.39637,23515136,0.903563,1.10673,0,0,0,0,0,0,0,0
99.684715,23453696,1.161399,0.86103,100.019933,24195072,3.241475,0.308502,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.023972,24453120,4.386623,0.227966,0,0,0,0,100.851342,23453696,1.161399,0.86103,0,0,0,0
0,0,0,0,100.046152,24461312,4.87661,0.20506,99.399814,24133632,2.723527,0.367171,0,0,0,0,0,0,0,0
0,0,0,0,99.98224974,24465408,4.879018,0.204959,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.063807,24477696,5.518708,0.181202,0,0,0,0,100.808678,24334336,2.328835,0.429399,99.684467,22827008,1.161911,0.860651
99.823197,24502272,2.742499,0.364631,100.196456,24952832,2.311156,0.432684,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.324775,25321472,3.461126,0.288923,0,0,0,0,100.548148,24932352,2.766083,0.361522,0,0,0,0
0,0,0,0,100.23891,25714688,3.455854,0.289364,0,0,0,0,100.69675,25423872,2.319405,0.431145,99.88758,24076288,2.775631,0.360278
0,0,0,0,100.247755,26066944,3.680663,0.27169,99.481699,25817088,4.638763,0.215575,0,0,0,0,0,0,0,0
0,0,0,0,100.2707439,26308608,3.678016,0.271886,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.250686,26370048,3.93688,0.254008,99.484277,26030080,5.546207,0.180303,0,0,0,0,0,0,0,0
0,0,0,0,100.257137,26386432,4.175319,0.239503,99.649843,26726400,6.453442,0.154956,0,0,0,0,0,0,0,0
0,0,0,0,100.142994,26685440,4.350416,0.229863,0,0,0,0,100.607062,25911296,2.321644,0.430729,0,0,0,0
99.751565,25513984,5.493677,0.182027,100.216668,27037696,2.354424,0.424732,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.171272,27045888,3.214809,0.311061,0,0,0,0,100.450703,26329088,3.735399,0.267709,99.743146,24834048,3.209754,0.31155
99.779984,25882624,6.663296,0.150076,100.174454,27340800,3.533275,0.283024,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.2548121,27643904,3.531906,0.283133,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.254564,27734016,3.222808,0.310288,0,0,0,0,100.39406,26685440,2.765315,0.361622,0,0,0,0
0,0,0,0,100.208991,28110848,3.218431,0.31071,0,0,0,0,100.387697,27049984,2.77158,0.360805,99.796402,25178112,2.322718,0.43053
0,0,0,0,100.229589,28372992,3.243495,0.308309,99.831274,28340224,10.178535,0.098246,0,0,0,0,0,0,0,0
0,0,0,0,100.195367,28741632,2.596407,0.385148,99.890766,28975104,11.981445,0.083462,0,0,0,0,0,0,0,0
0,0,0,0,100.197705,28839936,2.939047,0.340246,0,0,0,0,100.33735,27500544,2.333201,0.428596,0,0,0,0
0,0,0,0,100.199951,28966912,4.004625,0.249711,99.935569,29102080,12.896705,0.077539,0,0,0,0,0,0,0,0
0,0,0,0,100.2152332,29196288,4.017195,0.24893,0,0,0,0,0,0,0,0,0,0,0,0
99.849964,26734592,8.254673,0.121143,100.199243,29315072,4.717078,0.211996,0,0,0,0,0,0,0,0,0,0,0,0
99.865643,27062272,9.431114,0.106032,100.171441,29523968,4.711614,0.212241,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.170736,29925376,4.1301,0.242125,0,0,0,0,100.379983,28049408,3.741279,0.267288,99.835498,25833472,3.230328,0.309566
0,0,0,0,100.447139,31051776,3.216376,0.310909,99.929566,30646272,12.994377,0.076956,0,0,0,0,0,0,0,0
0,0,0,0,100.48117,31211520,3.464794,0.288617,99.921269,30871552,13.908935,0.071896,0,0,0,0,0,0,0,0
0,0,0,0,100.512704,31371264,4.144358,0.241292,0,0,0,0,100.337635,28631040,3.93178,0.254338,0,0,0,0
0,0,0,0,100.5199863,31457280,4.139114,0.241598,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.496294,31457280,4.88534,0.204694,99.942553,30912512,14.814243,0.067503,0,0,0,0,0,0,0,0
0,0,0,0,100.463874,31510528,5.128824,0.194976,99.931452,30924800,15.731816,0.063565,0,0,0,0,0,0,0,0
99.930799,27869184,11.029905,0.090663,100.46061,31584256,5.894014,0.169664,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.465166,31612928,6.467593,0.154617,0,0,0,0,100.369038,29130752,4.901636,0.204014,99.892483,26083328,2.49828,0.400275
99.978623,28196864,12.210123,0.081899,100.435546,31776768,7.062299,0.141597,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.473547,31842304,4.153324,0.240771,0,0,0,0,100.327709,30879744,5.541409,0.18046,0,0,0,0
0,0,0,0,100.4534715,31920128,4.158022,0.240499,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.442824,31969280,2.781705,0.359492,99.95323,31334400,18.552404,0.053901,0,0,0,0,0,0,0,0
99.982044,29118464,13.807253,0.072426,100.445711,31997952,3.578239,0.279467,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.444999,32063488,4.205957,0.237758,99.949101,31477760,19.462682,0.05138,0,0,0,0,0,0,0,0
0,0,0,0,100.424413,32063488,5.315578,0.188126,0,0,0,0,100.315136,31240192,6.99499,0.142959,99.910463,26750976,3.191274,0.313354
99.995997,30195712,14.972624,0.066789,100.456493,32112640,5.916533,0.169018,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.433356,32153600,6.786459,0.147352,99.945198,31551488,20.363082,0.049108,0,0,0,0,0,0,0,0
0,0,0,0,100.4199455,32215040,6.784807,0.147388,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.4338,32223232,6.484437,0.154215,0,0,0,0,100.295428,31408128,6.005738,0.166507,0,0,0,0
0,0,0,0,100.404886,32260096,4.159216,0.24043,0,0,0,0,100.258755,31608832,7.007782,0.142699,99.924085,27480064,3.639646,0.274752
99.986812,30498816,16.58755,0.060286,100.415922,32366592,3.596754,0.278028,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.407015,32456704,4.188593,0.238744,99.959262,31780864,22.26509,0.044913,0,0,0,0,0,0,0,0
99.991151,30629888,17.762993,0.056297,100.389337,32452608,4.766315,0.209806,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.394824,32509952,5.60663,0.17836,99.954001,31916032,23.176582,0.043147,0,0,0,0,0,0,0,0
0,0,0,0,100.3813053,32587776,5.607634,0.178328,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.378976,32587776,6.495623,0.15395,0,0,0,0,100.247026,31744000,7.611267,0.131384,0,0,0,0
0,0,0,0,100.358184,32600064,7.028707,0.142274,99.957142,31920128,24.07507,0.041537,0,0,0,0,0,0,0,0
